Date,Temp
2020-01-01,6.7
2020-01-02,7.2
2020-01-03,5.8
2020-01-04,1.3
2020-01-05,2.2
2020-01-06,6.8
2020-01-07,6.1
2020-01-08,6.9
2020-01-09,2.1
2020-01-10,0.7
2020-01-11,5.3
2020-01-12,3.7
2020-01-13,1.9
2020-01-14,6.4
2020-01-15,7.4
2020-01-16,7.2
2020-01-17,7.0
2020-01-18,5.1
2020-01-19,3.4
2020-01-20,7.0
2020-01-21,7.6
2020-01-22,2.8
2020-01-23,5.5
2020-01-24,6.2
2020-01-25,4.6
2020-01-26,6.3
2020-01-27,5.8
2020-01-28,2.7
2020-01-29,2.3
2020-01-30,1.7
2020-01-31,3.5
2020-02-01,7.5
2020-02-02,3.1
2020-02-03,-0.6
2020-02-04,-0.3
2020-02-05,2.4
2020-02-06,5.1
2020-02-07,2.4
2020-02-08,5.0
2020-02-09,6.6
2020-02-10,4.7
2020-02-11,2.2
2020-02-12,3.3
2020-02-13,0.2
2020-02-14,1.2
2020-02-15,5.8
2020-02-16,7.3
2020-02-17,6.8
2020-02-18,4.9
2020-02-19,2.1
2020-02-20,4.6
2020-02-21,5.5
2020-02-22,5.7
2020-02-23,4.4
2020-02-24,2.3
2020-02-25,0.5
2020-02-26,-2.4
2020-02-27,-1.7
2020-02-28,0.1
2020-02-29,2.1
2020-03-01,3.5
2020-03-02,4.2
2020-03-03,3.4
2020-03-04,2.0
2020-03-05,1.0
2020-03-06,0.5
2020-03-07,0.6
2020-03-08,6.4
2020-03-09,5.6
2020-03-10,5.0
2020-03-11,6.3
2020-03-12,3.9
2020-03-13,1.4
2020-03-14,1.0
2020-03-15,6.4
2020-03-16,4.2
2020-03-17,7.7
2020-03-18,5.8
2020-03-19,5.3
2020-03-20,2.9
2020-03-21,0.9
2020-03-22,0.8
2020-03-23,3.8
2020-03-24,5.0
2020-03-25,6.4
2020-03-26,4.3
2020-03-27,4.7
2020-03-28,5.9
2020-03-29,3.2
2020-03-30,3.0
2020-03-31,4.7
2020-04-01,7.3
2020-04-02,4.7
2020-04-03,4.0
2020-04-04,2.3
2020-04-05,6.5
2020-04-06,7.2
2020-04-07,9.5
2020-04-08,7.5
2020-04-09,7.3
2020-04-10,4.2
2020-04-11,5.4
2020-04-12,8.2
2020-04-13,5.0
2020-04-14,5.7
2020-04-15,10.5
2020-04-16,9.6
2020-04-17,5.4
2020-04-18,5.6
2020-04-19,7.1
2020-04-20,9.2
2020-04-21,10.9
2020-04-22,11.5
2020-04-23,11.3
2020-04-24,9.8
2020-04-25,7.8
2020-04-26,8.2
2020-04-27,8.8
2020-04-28,6.2
2020-04-29,6.3
2020-04-30,4.7
2020-05-01,6.7
2020-05-02,8.6
2020-05-03,10.0
2020-05-04,7.1
2020-05-05,8.4
2020-05-06,9.7
2020-05-07,11.3
2020-05-08,11.1
2020-05-09,10.9
2020-05-10,7.0
2020-05-11,6.1
2020-05-12,6.4
2020-05-13,6.4
2020-05-14,7.3
2020-05-15,9.5
2020-05-16,7.4
2020-05-17,8.7
2020-05-18,9.4
2020-05-19,11.9
2020-05-20,10.9
2020-05-21,11.7
2020-05-22,11.1
2020-05-23,11.7
2020-05-24,12.0
2020-05-25,14.2
2020-05-26,12.6
2020-05-27,13.1
2020-05-28,12.0
2020-05-29,12.6
2020-05-30,15.3
2020-05-31,16.0
2020-06-01,16.9
2020-06-02,17.5
2020-06-03,14.2
2020-06-04,14.2
2020-06-05,11.2
2020-06-06,12.4
2020-06-07,12.4
2020-06-08,11.9
2020-06-09,11.9
2020-06-10,13.9
2020-06-11,19.4
2020-06-12,19.9
2020-06-13,18.5
2020-06-14,18.4
2020-06-15,19.3
2020-06-16,20.5
2020-06-17,19.7
2020-06-18,19.3
2020-06-19,20.6
2020-06-20,19.2
2020-06-21,18.2
2020-06-22,18.5
2020-06-23,19.0
2020-06-24,20.0
2020-06-25,19.6
2020-06-26,20.9
2020-06-27,22.1
2020-06-28,17.8
2020-06-29,14.6
2020-06-30,14.5
2020-07-01,15.4
2020-07-02,14.3
2020-07-03,12.6
2020-07-04,13.1
2020-07-05,14.3
2020-07-06,14.2
2020-07-07,12.9
2020-07-08,15.2
2020-07-09,14.3
2020-07-10,13.0
2020-07-11,15.2
2020-07-12,15.1
2020-07-13,15.5
2020-07-14,14.5
2020-07-15,15.4
2020-07-16,15.5
2020-07-17,15.6
2020-07-18,16.1
2020-07-19,15.2
2020-07-20,15.9
2020-07-21,15.8
2020-07-22,16.0
2020-07-23,14.9
2020-07-24,15.2
2020-07-25,14.8
2020-07-26,16.3
2020-07-27,14.9
2020-07-28,15.2
2020-07-29,16.2
2020-07-30,17.6
2020-07-31,17.9
2020-08-01,17.2
2020-08-02,17.5
2020-08-03,16.4
2020-08-04,15.5
2020-08-05,15.6
2020-08-06,18.0
2020-08-07,18.7
2020-08-08,19.7
2020-08-09,18.5
2020-08-10,18.1
2020-08-11,19.0
2020-08-12,19.0
2020-08-13,18.6
2020-08-14,19.4
2020-08-15,17.3
2020-08-16,17.3
2020-08-17,19.8
2020-08-18,19.9
2020-08-19,18.1
2020-08-20,17.6
2020-08-21,18.7
2020-08-22,17.4
2020-08-23,16.1
2020-08-24,13.5
2020-08-25,12.5
2020-08-26,13.4
2020-08-27,13.5
2020-08-28,13.5
2020-08-29,13.7
2020-08-30,13.7
2020-08-31,13.6
2020-09-01,13.1
2020-09-02,13.1
2020-09-03,12.9
2020-09-04,14.4
2020-09-05,12.2
2020-09-06,13.3
2020-09-07,13.1
2020-09-08,14.9
2020-09-09,14.8
2020-09-10,12.2
2020-09-11,11.5
2020-09-12,12.9
2020-09-13,14.2
2020-09-14,16.9
2020-09-15,14.1
2020-09-16,13.6
2020-09-17,10.1
2020-09-18,14.6
2020-09-19,12.4
2020-09-20,12.1
2020-09-21,12.4
2020-09-22,13.7
2020-09-23,15.2
2020-09-24,12.6
2020-09-25,9.9
2020-09-26,10.3
2020-09-27,13.7
2020-09-28,12.9
2020-09-29,13.5
2020-09-30,14.1
2020-10-01,13.3
2020-10-02,14.3
2020-10-03,14.2
2020-10-04,13.7
2020-10-05,13.1
2020-10-06,12.4
2020-10-07,11.3
2020-10-08,9.6
2020-10-09,8.9
2020-10-10,8.3
2020-10-11,8.5
2020-10-12,7.6
2020-10-13,7.9
2020-10-14,7.3
2020-10-15,6.5
2020-10-16,6.6
2020-10-17,7.3
2020-10-18,6.3
2020-10-19,4.7
2020-10-20,6.8
2020-10-21,10.3
2020-10-22,10.7
2020-10-23,7.4
2020-10-24,8.2
2020-10-25,10.0
2020-10-26,8.1
2020-10-27,8.7
2020-10-28,9.3
2020-10-29,5.0
2020-10-30,7.7
2020-10-31,8.2
